Time,Temperature,well,od,strain,line,CTDr
0,30.0,A1,0.134,TL47,x,26
15,30.0,A1,0.138,TL47,x,26
30,30.0,A1,0.14,TL47,x,26
45,30.0,A1,0.14,TL47,x,26
60,30.1,A1,0.145,TL47,x,26
75,30.1,A1,0.149,TL47,x,26
90,30.1,A1,0.155,TL47,x,26
105,30.1,A1,0.163,TL47,x,26
120,30.1,A1,0.17,TL47,x,26
135,30.1,A1,0.179,TL47,x,26
150,30.1,A1,0.18600000000000003,TL47,x,26
165,30.1,A1,0.2,TL47,x,26
180,30.2,A1,0.209,TL47,x,26
195,30.1,A1,0.226,TL47,x,26
210,30.1,A1,0.242,TL47,x,26
225,30.1,A1,0.262,TL47,x,26
240,30.1,A1,0.285,TL47,x,26
255,30.1,A1,0.307,TL47,x,26
270,30.1,A1,0.337,TL47,x,26
285,30.1,A1,0.368,TL47,x,26
300,30.1,A1,0.406,TL47,x,26
315,30.1,A1,0.447,TL47,x,26
330,30.1,A1,0.493,TL47,x,26
345,30.2,A1,0.542,TL47,x,26
360,30.2,A1,0.597,TL47,x,26
375,30.1,A1,0.652,TL47,x,26
390,30.2,A1,0.7170000000000001,TL47,x,26
405,30.2,A1,0.7809999999999999,TL47,x,26
420,30.1,A1,0.845,TL47,x,26
435,30.1,A1,0.907,TL47,x,26
450,30.1,A1,0.978,TL47,x,26
465,30.1,A1,1.043,TL47,x,26
480,30.1,A1,1.101,TL47,x,26
495,30.1,A1,1.159,TL47,x,26
510,30.1,A1,1.198,TL47,x,26
525,30.1,A1,1.227,TL47,x,26
540,30.1,A1,1.2409999999999999,TL47,x,26
555,30.1,A1,1.249,TL47,x,26
570,30.1,A1,1.26,TL47,x,26
585,30.1,A1,1.274,TL47,x,26
600,30.1,A1,1.2830000000000001,TL47,x,26
615,30.1,A1,1.275,TL47,x,26
630,30.1,A1,1.287,TL47,x,26
645,30.1,A1,1.297,TL47,x,26
660,30.1,A1,1.306,TL47,x,26
675,30.1,A1,1.3159999999999998,TL47,x,26
690,30.1,A1,1.3230000000000002,TL47,x,26
705,30.1,A1,1.33,TL47,x,26
720,30.1,A1,1.338,TL47,x,26
735,30.1,A1,1.347,TL47,x,26
750,30.1,A1,1.351,TL47,x,26
765,30.1,A1,1.361,TL47,x,26
780,30.1,A1,1.364,TL47,x,26
795,30.1,A1,1.3730000000000002,TL47,x,26
810,30.1,A1,1.3769999999999998,TL47,x,26
825,30.1,A1,1.3840000000000001,TL47,x,26
840,30.1,A1,1.392,TL47,x,26
855,30.1,A1,1.3940000000000001,TL47,x,26
870,30.1,A1,1.399,TL47,x,26
