0.5_quant_cc,0.5_quant_nc,0.95_quant_cc,0.95_quant_nc,strain,im_name,cell_area,CTDr
518.0,226.0,589.1999999999998,746.3999999999996,18_2,18_2-06,3582.0,12
565.0,222.0,654.0,696.0,18_2,18_2-06,3261.0,12
444.0,171.0,519.0,658.0,18_2,18_2-06,4431.0,12
451.0,149.0,525.0,486.4499999999998,18_2,18_2-06,2786.0,12
0.0,0.0,522.0,498.0,18_2,18_2-06,3025.0,12
563.0,211.0,632.0,573.0,18_2,18_2-06,4224.0,12
610.0,125.0,749.0,423.0,10_3,10_3-02,3954.0,26
591.0,154.0,665.0,414.0,10_3,10_3-02,2600.0,26
676.0,227.0,779.0,484.0,10_3,10_3-02,5204.0,26
542.0,149.0,605.0,320.0,10_3,10_3-02,2538.0,26
418.0,118.0,466.0,308.0,10_1,10_1-07,2823.0,26
472.0,125.0,561.0,319.0,10_1,10_1-07,3826.0,26
420.0,121.0,469.3499999999999,290.0,10_1,10_1-07,3097.0,26
467.0,115.0,552.0,300.0,10_1,10_1-07,3638.0,26
465.0,124.0,543.0,335.0,10_1,10_1-07,3591.0,26
424.0,110.0,474.0,255.75,10_1,10_1-07,3614.0,26
505.0,146.0,581.0,795.4499999999989,10_1,10_1-07,3452.0,26
468.0,123.0,515.0,295.0,10_1,10_1-07,2978.0,26
460.0,122.0,512.0,282.0,10_1,10_1-07,2484.0,26
435.0,119.0,487.0,307.0,10_1,10_1-07,3481.0,26
453.0,161.0,503.0,581.9499999999998,10_1,10_1-07,4071.0,26
495.0,129.0,576.0,418.0,10_1,10_1-07,4478.0,26
476.0,123.0,569.0,375.4499999999998,10_1,10_1-07,2780.0,26
462.0,142.0,518.0,324.0,10_1,10_1-07,3273.0,26
466.0,128.0,529.0,269.0,10_1,10_1-07,2528.0,26
488.0,117.0,563.0,310.0,10_1,10_1-07,4086.0,26
444.0,109.0,494.0,347.0,10_1,10_1-07,3781.0,26
510.0,134.0,587.0,365.0,10_1,10_1-07,4332.0,26
496.0,112.0,599.0,328.84999999999945,10_1,10_1-07,2927.0,26
459.0,118.0,511.0,275.0,10_1,10_1-07,2946.0,26
532.0,137.0,675.0,418.0,10_1,10_1-07,2799.0,26
483.0,127.0,552.0,358.0,10_1,10_1-07,3188.0,26
456.0,111.0,511.0,285.0,10_1,10_1-07,3321.0,26
469.0,116.0,526.0,337.0,10_1,10_1-07,3445.0,26
463.0,121.0,521.0,346.9499999999998,10_1,10_1-07,3192.0,26
502.0,135.0,585.0,423.0,10_1,10_1-07,3439.0,26
473.0,154.0,526.0,444.5,10_1,10_1-07,2663.0,26
466.0,122.0,521.0,375.0,10_1,10_1-07,3760.0,26
470.5,124.0,547.0,325.0,10_1,10_1-07,2731.0,26
466.0,135.0,521.0,396.0,10_1,10_1-07,3501.0,26
461.0,116.0,517.0,352.0,10_1,10_1-07,3736.0,26
481.0,128.0,549.0,457.75,10_1,10_1-07,3320.0,26
473.0,124.0,519.0,311.0,10_1,10_1-07,2444.0,26
465.0,138.0,525.0,457.0,10_1,10_1-07,2394.0,26
468.0,124.0,530.0,319.0,10_1,10_1-07,3253.0,26
480.0,119.0,558.0,311.0,10_1,10_1-07,4465.0,26
455.0,117.0,511.0,327.0500000000002,10_1,10_1-07,3439.0,26
436.0,113.0,490.0,228.0,10_1,10_1-07,3671.0,26
457.0,116.0,512.0,277.0,10_1,10_1-07,3125.0,26
485.0,114.0,539.0,255.0,10_1,10_1-07,3920.0,26
508.0,150.0,614.0,332.0,10_1,10_1-07,2999.0,26
463.0,124.0,524.0,361.0,10_1,10_1-07,3116.0,26
433.0,111.0,488.0,283.5,10_1,10_1-07,3536.0,26
475.0,125.0,524.0,307.0,10_1,10_1-07,2729.0,26
451.0,121.0,562.0,309.0,10_1,10_1-07,2910.0,26
440.0,112.0,507.0,272.0,10_1,10_1-07,3749.0,26
453.0,117.0,515.0,265.89999999999964,10_1,10_1-07,2725.0,26
460.0,121.0,519.0,321.0,10_1,10_1-07,3638.0,26
439.0,122.0,494.0,360.5500000000002,10_1,10_1-07,2923.0,26
457.0,122.0,522.0,245.0,10_1,10_1-07,3449.0,26
436.5,118.0,484.0,273.0,10_1,10_1-07,2741.0,26
464.0,131.0,522.0,379.0,10_1,10_1-07,2982.0,26
437.0,115.0,483.0,273.0,10_1,10_1-07,4563.0,26
464.0,130.0,529.0,368.0,10_1,10_1-07,2460.0,26
488.0,123.0,602.0,375.0,10_1,10_1-07,3271.0,26
480.0,116.0,540.0,308.0500000000002,10_1,10_1-07,4119.0,26
447.0,115.0,502.0,322.3000000000002,10_1,10_1-07,3582.0,26
455.0,139.0,508.0,465.0,10_1,10_1-07,3121.0,26
465.0,132.0,531.0,373.0,10_1,10_1-07,3333.0,26
466.0,135.0,530.0,365.0,10_1,10_1-07,3553.0,26
412.0,111.0,473.0,281.0,10_1,10_1-07,2874.0,26
432.0,126.0,498.0,367.8000000000002,10_1,10_1-06,2727.0,26
443.0,132.0,494.0,417.0,10_1,10_1-06,2539.0,26
410.0,126.0,466.0,367.4499999999998,10_1,10_1-06,2503.0,26
447.0,122.0,497.0,464.0,10_1,10_1-06,2391.0,26
437.0,121.0,497.0,290.0,10_1,10_1-06,2232.0,26
451.0,122.0,515.0,362.1999999999998,10_1,10_1-06,3178.0,26
398.0,118.0,452.0,298.0,10_1,10_1-06,2904.0,26
459.0,125.0,517.0,389.0,10_1,10_1-12,2383.0,26
484.0,128.0,585.0,411.0499999999993,10_1,10_1-12,4163.0,26
434.0,120.0,489.0,318.14999999999964,10_1,10_1-12,2550.0,26
442.0,126.0,494.0,314.0,10_1,10_1-12,2762.0,26
467.0,130.0,540.0,340.0,10_1,10_1-12,3413.0,26
594.0,117.0,675.0,431.0,10_3,10_3-03,3805.0,26
622.0,124.0,701.0,270.0,10_3,10_3-03,2984.0,26
608.0,129.0,683.0499999999997,324.0,10_3,10_3-03,2876.0,26
589.0,121.0,687.0,285.0,10_3,10_3-03,2849.0,26
576.0,124.0,646.4499999999998,281.0,10_3,10_3-03,3134.0,26
589.0,111.0,682.0,213.0,10_3,10_3-03,3060.0,26
607.0,118.0,727.0,299.0,10_3,10_3-03,4136.0,26
541.0,115.0,622.0,441.0,10_3,10_3-03,3379.0,26
444.0,184.0,507.0,662.0,18_2,18_2-07,3394.0,12
496.0,148.0,597.0,179.0,18_2,18_2-07,3648.0,12
488.0,172.0,561.0,668.0,18_2,18_2-07,4391.0,12
455.0,182.0,560.0,822.8499999999995,18_2,18_2-07,4248.0,12
500.0,208.0,571.0,641.0,18_2,18_2-07,3230.0,12
0.0,0.0,526.0,793.0,18_2,18_2-07,6059.0,12
0.0,0.0,557.0,520.2999999999993,18_2,18_2-07,3316.0,12
618.0,192.0,963.7999999999993,674.0,18_2,18_2-05,5369.0,12
530.0,195.0,595.0,523.3499999999995,18_2,18_2-05,4054.0,12
0.0,0.0,656.0,482.09999999999854,18_2,18_2-05,4454.0,12
491.0,269.0,568.0,742.0999999999985,18_2,18_2-05,4319.0,12
516.0,164.0,604.0,453.0,18_2,18_2-05,5005.0,12
490.0,170.0,559.0,503.0,18_2,18_2-05,3860.0,12
473.0,156.0,550.0,400.14999999999964,18_2,18_2-05,5025.0,12
401.0,115.0,451.0,327.4499999999998,10_1,10_1-04,2675.0,26
517.0,144.0,725.75,169.0,10_1,10_1-04,2777.0,26
442.0,116.0,504.0,305.0500000000002,10_1,10_1-04,2855.0,26
470.0,122.0,538.0,366.8000000000002,10_1,10_1-04,3103.0,26
496.5,133.0,553.0,316.0,10_1,10_1-04,2911.0,26
476.0,144.0,545.0,361.0,10_1,10_1-04,2987.0,26
400.0,132.0,453.0,521.0,10_1,10_1-04,3252.0,26
454.0,138.0,506.0,325.0,10_1,10_1-04,2911.0,26
426.0,112.0,494.0,355.39999999999964,10_1,10_1-04,2787.0,26
448.0,114.0,517.0,433.0,10_1,10_1-04,3453.0,26
439.0,130.0,491.0,353.0,10_1,10_1-04,2955.0,26
429.0,119.0,490.0,298.0,10_1,10_1-10,3332.0,26
441.0,126.0,501.0,365.64999999999964,10_1,10_1-10,3542.0,26
450.0,131.0,501.0,289.0,10_1,10_1-10,2789.0,26
433.0,123.0,486.0,303.0,10_1,10_1-10,3289.0,26
489.0,123.0,553.0,367.8499999999999,10_1,10_1-10,2833.0,26
472.0,130.0,538.0,382.0,10_1,10_1-10,2694.0,26
