time_postinduction,mov_name,strain,no_TS,no_cells,frac_active,thresh,rep,date,CTDr
30.0,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_3,yQC21,215,252,0.8531746031746031,4,3.0,03052019,26
30.0,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_1,yQC22,151,223,0.6771300448430493,4,1.0,03052019,14
30.0,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_1,yQC23,141,240,0.5875,4,1.0,03052019,12
30.0,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_1,yQC26,49,112,0.4375,4,1.0,03062019,101
30.0,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_1,yQC62,12,74,0.16216216216216217,4,1.0,03132019,10
30.0,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_1,yQC63,12,81,0.14814814814814814,4,1.0,03272019,9
30.0,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_1,yQC22,46,88,0.5227272727272727,4,1.0,05222019,14
30.0,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_1,yQC23,60,107,0.5607476635514018,4,1.0,05222019,12
30.0,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_1,yQC26,53,101,0.5247524752475248,4,1.0,05222019,101
30.0,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_1,yQC62,14,113,0.12389380530973451,4,1.0,05222019,10
30.0,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_1,yQC63,7,144,0.04861111111111111,4,1.0,05222019,9
30.0,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_1,yQC21,114,159,0.7169811320754716,4,1.0,05232019,26
30.61666666666667,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_2,yQC21,127,167,0.7604790419161677,4,2.0,05232019,26
30.86666666666667,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_2,yQC63,7,135,0.05185185185185185,4,2.0,05222019,9
30.88333333333333,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_2,yQC23,115,208,0.5528846153846154,4,2.0,03052019,12
30.88333333333333,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_2,yQC23,46,80,0.575,4,2.0,05222019,12
30.9,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_2,yQC22,34,103,0.3300970873786408,4,2.0,05222019,14
30.98333333333333,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_2,yQC62,23,117,0.19658119658119658,4,2.0,05222019,10
31.0,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_2,yQC26,48,111,0.43243243243243246,4,2.0,05222019,101
31.15,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_2,yQC22,162,225,0.72,4,2.0,03052019,14
31.216666666666665,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4,yQC21,233,291,0.8006872852233677,4,4.0,03052019,26
31.266666666666666,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_2,yQC62,14,78,0.1794871794871795,4,2.0,03132019,10
31.316666666666666,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_3,yQC21,96,127,0.7559055118110236,4,3.0,05232019,26
31.58333333333333,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_3,yQC63,8,153,0.05228758169934641,4,3.0,05222019,9
31.6,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_3,yQC23,148,250,0.592,4,3.0,03052019,12
31.716666666666665,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_3,yQC22,53,103,0.5145631067961165,4,3.0,05222019,14
31.766666666666666,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_3,yQC62,21,109,0.1926605504587156,4,3.0,05222019,10
31.78333333333333,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_3,yQC26,52,94,0.5531914893617021,4,3.0,05222019,101
31.8,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_2,yQC26,34,101,0.33663366336633666,4,2.0,03062019,101
31.83333333333333,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_2,yQC63,7,79,0.08860759493670886,4,2.0,03272019,9
31.91666666666667,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_3,yQC23,75,130,0.5769230769230769,4,3.0,05222019,12
32.03333333333333,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_4,yQC21,121,160,0.75625,4,4.0,05232019,26
32.21666666666667,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_4,yQC63,8,129,0.06201550387596899,4,4.0,05222019,9
32.3,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_3,yQC62,22,123,0.17886178861788618,4,3.0,03132019,10
