time,strain,mov_name,roi,CTDr
460,yQC22,02122019_yQC22_100u10%int480_1,3,14
1160,yQC22,02122019_yQC22_100u10%int480_1,4,14
40,yQC22,02122019_yQC22_100u10%int480_1,4,14
40,yQC22,02122019_yQC22_100u10%int480_1,4,14
140,yQC22,02122019_yQC22_100u10%int480_1,4,14
80,yQC22,02122019_yQC22_100u10%int480_1,4,14
1320,yQC22,02122019_yQC22_100u10%int480_1,4,14
320,yQC22,02122019_yQC22_100u10%int480_1,4,14
260,yQC22,02122019_yQC22_100u10%int480_1,4,14
320,yQC22,02122019_yQC22_100u10%int480_1,6,14
40,yQC22,02122019_yQC22_100u10%int480_1,6,14
380,yQC22,02122019_yQC22_100u10%int480_1,6,14
20,yQC22,02122019_yQC22_100u10%int480_1,6,14
80,yQC22,02122019_yQC22_100u10%int480_1,6,14
180,yQC22,02122019_yQC22_100u10%int480_1,6,14
60,yQC22,02122019_yQC22_100u10%int480_1,6,14
120,yQC22,02122019_yQC22_100u10%int480_1,6,14
40,yQC22,02122019_yQC22_100u10%int480_1,6,14
80,yQC22,02122019_yQC22_100u10%int480_1,6,14
60,yQC22,02122019_yQC22_100u10%int480_1,6,14
560,yQC22,02122019_yQC22_100u10%int480_1,6,14
220,yQC22,02122019_yQC22_100u10%int480_1,6,14
60,yQC22,02122019_yQC22_100u10%int480_1,6,14
400,yQC22,02122019_yQC22_100u10%int480_1,6,14
700,yQC22,02122019_yQC22_100u10%int480_1,6,14
600,yQC22,02122019_yQC22_100u10%int480_1,6,14
1360,yQC22,02122019_yQC22_100u10%int480_1,7,14
920,yQC22,02122019_yQC22_100u10%int480_1,7,14
1380,yQC22,02122019_yQC22_100u10%int480_1,7,14
220,yQC22,02122019_yQC22_100u10%int480_1,8,14
40,yQC22,02122019_yQC22_100u10%int480_1,8,14
20,yQC22,02122019_yQC22_100u10%int480_1,9,14
260,yQC22,02122019_yQC22_100u10%int480_1,9,14
20,yQC22,02122019_yQC22_100u10%int480_1,9,14
60,yQC22,02122019_yQC22_100u10%int480_1,9,14
1660,yQC22,02122019_yQC22_100u10%int480_1,9,14
160,yQC22,02122019_yQC22_100u10%int480_1,10,14
40,yQC22,02122019_yQC22_100u10%int480_1,10,14
20,yQC22,02122019_yQC22_100u10%int480_1,10,14
180,yQC22,02122019_yQC22_100u10%int480_1,10,14
400,yQC22,02122019_yQC22_100u10%int480_1,10,14
200,yQC22,02122019_yQC22_100u10%int480_1,10,14
300,yQC22,02122019_yQC22_100u10%int480_1,10,14
40,yQC22,02122019_yQC22_100u10%int480_1,10,14
280,yQC22,02122019_yQC22_100u10%int480_1,10,14
60,yQC22,02122019_yQC22_100u10%int480_1,10,14
240,yQC22,02122019_yQC22_100u10%int480_1,10,14
40,yQC22,02122019_yQC22_100u10%int480_1,10,14
200,yQC22,02122019_yQC22_100u10%int480_1,10,14
600,yQC22,02122019_yQC22_100u10%int480_1,10,14
260,yQC22,02122019_yQC22_100u10%int480_1,11,14
200,yQC22,02122019_yQC22_100u10%int480_1,11,14
220,yQC22,02122019_yQC22_100u10%int480_1,11,14
920,yQC22,02122019_yQC22_100u10%int480_1,11,14
240,yQC22,02122019_yQC22_100u10%int480_1,11,14
560,yQC22,02122019_yQC22_100u10%int480_1,11,14
240,yQC22,02122019_yQC22_100u10%int480_1,11,14
40,yQC22,02122019_yQC22_100u10%int480_1,11,14
760,yQC22,02122019_yQC22_100u10%int480_1,12,14
120,yQC22,02122019_yQC22_100u10%int480_1,12,14
840,yQC22,02122019_yQC22_100u10%int480_1,12,14
480,yQC22,02122019_yQC22_100u10%int480_1,12,14
900,yQC22,02122019_yQC22_100u10%int480_1,12,14
460,yQC22,02122019_yQC22_100u10%int480_1,12,14
300,yQC22,02122019_yQC22_100u10%int480_1,13,14
820,yQC22,02122019_yQC22_100u10%int480_1,13,14
1440,yQC22,02122019_yQC22_100u10%int480_1,13,14
340,yQC22,02122019_yQC22_100u10%int480_1,15,14
620,yQC22,02122019_yQC22_100u10%int480_1,15,14
100,yQC22,02122019_yQC22_100u10%int480_1,15,14
100,yQC22,02122019_yQC22_100u10%int480_1,15,14
200,yQC22,02122019_yQC22_100u10%int480_1,15,14
320,yQC22,02122019_yQC22_100u10%int480_1,15,14
120,yQC22,02122019_yQC22_100u10%int480_1,15,14
140,yQC22,02122019_yQC22_100u10%int480_1,15,14
40,yQC22,02122019_yQC22_100u10%int480_1,15,14
280,yQC22,02122019_yQC22_100u10%int480_1,15,14
380,yQC22,02122019_yQC22_100u10%int480_1,15,14
2720,yQC22,02122019_yQC22_100u10%int480_1,16,14
40,yQC22,02122019_yQC22_100u10%int480_1,16,14
2140,yQC22,02122019_yQC22_100u10%int480_1,16,14
160,yQC22,02122019_yQC22_100u10%int480_1,16,14
520,yQC22,02122019_yQC22_100u10%int480_1,17,14
60,yQC22,02122019_yQC22_100u10%int480_1,17,14
40,yQC22,02122019_yQC22_100u10%int480_1,17,14
60,yQC22,02122019_yQC22_100u10%int480_1,17,14
360,yQC22,02122019_yQC22_100u10%int480_1,17,14
40,yQC22,02122019_yQC22_100u10%int480_1,17,14
280,yQC22,02122019_yQC22_100u10%int480_1,17,14
440,yQC22,02122019_yQC22_100u10%int480_1,17,14
80,yQC22,02122019_yQC22_100u10%int480_1,18,14
460,yQC22,02122019_yQC22_100u10%int480_1,18,14
60,yQC22,02122019_yQC22_100u10%int480_1,18,14
380,yQC22,02122019_yQC22_100u10%int480_1,18,14
460,yQC22,02122019_yQC22_100u10%int480_1,18,14
260,yQC22,02122019_yQC22_100u10%int480_1,18,14
960,yQC22,02122019_yQC22_100u10%int480_1,18,14
1240,yQC22,02122019_yQC22_100u10%int480_1,18,14
20,yQC22,02122019_yQC22_100u10%int480_1,22,14
700,yQC22,02122019_yQC22_100u10%int480_1,22,14
80,yQC22,02122019_yQC22_100u10%int480_1,22,14
40,yQC22,02122019_yQC22_100u10%int480_1,22,14
360,yQC22,02122019_yQC22_100u10%int480_1,22,14
140,yQC22,02122019_yQC22_100u10%int480_1,22,14
360,yQC22,02122019_yQC22_100u10%int480_1,22,14
120,yQC22,02122019_yQC22_100u10%int480_1,22,14
620,yQC22,02122019_yQC22_100u10%int480_1,22,14
80,yQC22,02122019_yQC22_100u10%int480_1,23,14
700,yQC22,02122019_yQC22_100u10%int480_1,23,14
540,yQC22,02122019_yQC22_100u10%int480_1,23,14
460,yQC22,02122019_yQC22_100u10%int480_1,25,14
1020,yQC22,02122019_yQC22_100u10%int480_1,25,14
240,yQC22,02122019_yQC22_100u10%int480_1,25,14
2280,yQC22,02122019_yQC22_100u10%int480_1,25,14
20,yQC22,02122019_yQC22_100u10%int480_1,26,14
140,yQC22,02122019_yQC22_100u10%int480_1,26,14
80,yQC22,02122019_yQC22_100u10%int480_1,26,14
40,yQC22,02122019_yQC22_100u10%int480_1,26,14
100,yQC22,02122019_yQC22_100u10%int480_1,26,14
740,yQC22,02122019_yQC22_100u10%int480_1,26,14
60,yQC22,02122019_yQC22_100u10%int480_1,26,14
180,yQC22,02122019_yQC22_100u10%int480_1,26,14
220,yQC22,02122019_yQC22_100u10%int480_1,26,14
80,yQC22,02122019_yQC22_100u10%int480_1,26,14
320,yQC22,02122019_yQC22_100u10%int480_1,26,14
60,yQC22,02122019_yQC22_100u10%int480_1,26,14
860,yQC22,02122019_yQC22_100u10%int480_1,26,14
900,yQC22,02122019_yQC22_100u10%int480_1,26,14
60,yQC22,02122019_yQC22_100u10%int480_1,26,14
