acc,pi,arom,instab,net_charge,gravy
H812_YJM1401D00101,5.50482177734375,0.1326530612244898,154.0545918367349,-1.0,-1.1994897959183672
NDAI_0A02130,4.99615478515625,0.13020833333333334,141.61354166666683,-1.0,-1.1885416666666668
KNAG_0C03970,4.71490478515625,0.12972972972972974,152.21729729729745,-2.0,-1.2037837837837835
TBLA_0F02170,3.89837646484375,0.12834224598930483,148.2850267379681,-5.0,-1.2598930481283421
ZBAI_00500,4.58514404296875,0.13170731707317074,161.39121951219533,-2.0,-1.2034146341463419
FAGOS_FADR086C,4.82843017578125,0.1346153846153846,147.6899038461541,-2.0,-1.1591346153846156
AGOS_ADR086C,4.82843017578125,0.13488372093023254,148.19023255813977,-2.0,-1.1567441860465117
AACERI_AaceriADR086C,4.82843017578125,0.13432835820895522,148.7552238805972,-2.0,-1.1616915422885572
KLMA_60512,4.55462646484375,0.13197969543147206,147.82994923857888,-3.0,-1.2233502538071066
LALA0_S05e08064g,3.76959228515625,0.12980769230769232,151.13894230769253,-3.0,-1.1221153846153848
BN1211_6187,6.24676513671875,0.1308411214953271,145.49158878504693,0.0,-1.1747663551401875
BN7_4153,4.94818115234375,0.13450292397660818,160.24795321637444,-1.0,-1.2105263157894735
GNLVRS01_PISO0M21550g,6.06195068359375,0.12915129151291513,140.73690036900396,-1.0,-1.0944649446494468
CPAR2_200110,5.89471435546875,0.13705583756345177,157.0076142131982,0.0,-1.2035532994923859
LELG_05233,9.00091552734375,0.13793103448275862,157.57339901477857,4.0,-1.268472906403941
QG37_04197,8.23370361328125,0.13901345291479822,151.22869955156972,1.0,-1.2699551569506726
PICST_75374,4.65106201171875,0.1336206896551724,143.85948275862094,-2.0,-1.1155172413793106
SPAPADRAFT_134208,4.82745361328125,0.12903225806451613,136.46572580645181,-3.0,-1.0729838709677424
DEHA2A13618g,4.93487548828125,0.13366336633663367,149.8594059405943,-1.0,-1.2623762376237628
KUCA_T00000988001,4.66680908203125,0.14035087719298245,148.42807017543873,-1.0,-1.0900584795321633
