date,gene,mov_name,strain,no_TS,no_cells,frac_active
08152019,gal10,08152019_TL47_1,TL47,15,15,1.0
08152019,gal3,08152019_TL47_1,TL47,8,15,0.5333333333333333
08152019,gal10,08152019_TL47_10,TL47,30,33,0.9090909090909091
08152019,gal3,08152019_TL47_10,TL47,24,33,0.7272727272727273
08152019,gal10,08152019_TL47_11,TL47,10,12,0.8333333333333334
08152019,gal3,08152019_TL47_11,TL47,6,12,0.5
08152019,gal10,08152019_TL47_12,TL47,14,15,0.9333333333333333
08152019,gal3,08152019_TL47_12,TL47,7,15,0.4666666666666667
08152019,gal10,08152019_TL47_13,TL47,20,22,0.9090909090909091
08152019,gal3,08152019_TL47_13,TL47,11,22,0.5
08152019,gal10,08152019_TL47_14,TL47,19,20,0.95
08152019,gal3,08152019_TL47_14,TL47,10,20,0.5
08152019,gal10,08152019_TL47_15,TL47,13,15,0.8666666666666667
08152019,gal3,08152019_TL47_15,TL47,5,15,0.3333333333333333
08152019,gal10,08152019_TL47_16,TL47,21,22,0.9545454545454546
08152019,gal3,08152019_TL47_16,TL47,10,22,0.45454545454545453
08152019,gal10,08152019_TL47_17,TL47,11,13,0.8461538461538461
08152019,gal3,08152019_TL47_17,TL47,4,13,0.3076923076923077
08152019,gal10,08152019_TL47_18,TL47,22,22,1.0
08152019,gal3,08152019_TL47_18,TL47,7,22,0.3181818181818182
08152019,gal10,08152019_TL47_19,TL47,17,18,0.9444444444444444
08152019,gal3,08152019_TL47_19,TL47,11,18,0.6111111111111112
08152019,gal10,08152019_TL47_2,TL47,19,19,1.0
08152019,gal3,08152019_TL47_2,TL47,13,19,0.6842105263157895
08152019,gal10,08152019_TL47_3,TL47,20,23,0.8695652173913043
08152019,gal3,08152019_TL47_3,TL47,11,23,0.4782608695652174
08152019,gal10,08152019_TL47_4,TL47,15,17,0.8823529411764706
08152019,gal3,08152019_TL47_4,TL47,9,17,0.5294117647058824
08152019,gal10,08152019_TL47_5,TL47,15,23,0.6521739130434783
08152019,gal3,08152019_TL47_5,TL47,7,23,0.30434782608695654
08152019,gal10,08152019_TL47_6,TL47,23,26,0.8846153846153846
08152019,gal3,08152019_TL47_6,TL47,13,26,0.5
08152019,gal10,08152019_TL47_7,TL47,20,24,0.8333333333333334
08152019,gal3,08152019_TL47_7,TL47,15,24,0.625
08152019,gal10,08152019_TL47_8,TL47,28,31,0.9032258064516129
08152019,gal3,08152019_TL47_8,TL47,18,31,0.5806451612903226
