cell,ecc,ep,frame,mass,mov_name,nucleus,particle,pid,raw_mass,signal,size,strain,x,y,corrwideal,gene,date
2,0.30108122256371483,0.004636537411728096,0,793.1930583861133,08152019_TL47_9,0,15308,08152019_TL47_9_15308_0,6605.0,188.4275678264046,0.8731805398141372,TL47,821.9690898903142,183.04127232673991,0.7776749269540922,gal10,08152019
2,0.2953737958280482,0.005891834320776127,0,654.1783355782586,08152019_TL47_9,2,16814,08152019_TL47_9_16814_0,5340.0,155.52625998014497,0.8730733599203141,TL47,774.9496779837689,200.98665400938128,0.7649117276754446,gal10,08152019
3,0.2912054454875584,0.003574538695768443,0,716.8576405888513,08152019_TL47_9,3,28132,08152019_TL47_9_28132_0,8369.0,156.93875136066538,0.8837839295467931,TL47,708.0027432628691,336.01189879653145,0.8749588491463722,gal10,08152019
5,0.2575740194160045,0.004807380070678844,0,757.6920358007062,08152019_TL47_9,5,34253,08152019_TL47_9_34253_0,6394.0,173.90082457674225,0.8777733984415632,TL47,246.998192044998,409.0386179188429,0.8002098638666997,gal10,08152019
6,0.3067985865681018,0.005801197908262043,0,561.3922638578666,08152019_TL47_9,6,49536,08152019_TL47_9_49536_0,5413.0,130.64327604830498,0.8759492013221395,TL47,1898.0044139337147,590.9340295852853,0.9301099662350456,gal10,08152019
7,0.3498896871575137,0.008535086716950944,0,421.3425258142858,08152019_TL47_9,7,56155,08152019_TL47_9_56155_0,3893.0,98.47256719196965,0.875379096714734,TL47,1929.0009536883167,669.0376995881802,0.9300456953418592,gal10,08152019
8,0.2523195094818427,0.0028692712170098915,0,1172.4165524312607,08152019_TL47_9,8,64350,08152019_TL47_9_64350_0,10262.0,268.81781001774675,0.8779036168624589,TL47,1770.0052397075324,765.0274812014458,0.942875552382826,gal10,08152019
9,0.2385685368703335,0.011378496903964024,0,307.7465595308823,08152019_TL47_9,9,67146,08152019_TL47_9_67146_0,3087.0,73.13904721634296,0.8731208395151678,TL47,1901.0008902605496,798.004451302748,0.8534618820731016,gal10,08152019
10,0.2984262907363027,0.002172866862307332,0,1735.6596670636027,08152019_TL47_9,0,69354,08152019_TL47_9_69354_0,13337.0,398.99837337243287,0.8775631943600483,TL47,1579.0015364108322,825.0103584958607,0.927088742673352,gal10,08152019
12,0.2566327877423233,0.01361213796258677,0,236.8175742590604,08152019_TL47_9,12,76097,08152019_TL47_9_76097_0,2690.0,52.316976003499136,0.8826569094419346,TL47,1753.0602102989953,905.0182019178856,0.9102004141977496,gal10,08152019
11,0.3255333016799664,0.0033306248443923827,0,975.4044464732448,08152019_TL47_9,0,76578,08152019_TL47_9_76578_0,8933.0,218.7900441826772,0.8807343532629013,TL47,1801.963934610416,910.9663751724312,0.8033360573807409,gal10,08152019
14,0.2862610093616968,0.00796005528723213,0,454.9135494013095,08152019_TL47_9,14,86865,08152019_TL47_9_86865_0,4126.0,106.51524440605348,0.8751320323762166,TL47,1601.9413134544093,1031.0016461676414,0.9118725438653464,gal10,08152019
16,0.3217596229126662,0.03148399717324346,0,102.62480478470634,08152019_TL47_9,0,96553,08152019_TL47_9_96553_0,1542.0,25.120428603565397,0.8690343450798329,TL47,915.9903891789273,1144.9119601328905,0.7383480301626933,gal10,08152019
16,0.2606079672780342,0.005653468823226795,0,601.3621169316443,08152019_TL47_9,16,99077,08152019_TL47_9_99077_0,5537.0,136.9020740619902,0.8788325744614711,TL47,929.9466149656282,1175.0070667085135,0.916533018313351,gal10,08152019
19,0.3506850045218113,0.010529802439270826,0,297.27464067529996,08152019_TL47_9,0,108240,08152019_TL47_9_108240_0,3282.0,68.85286647545347,0.8765764904566841,TL47,333.95193233252087,1283.9494746758965,0.6544908554454781,gal10,08152019
18,0.2670225463542661,0.004174597596487937,0,835.4155916788245,08152019_TL47_9,18,110026,08152019_TL47_9_110026_0,7262.0,187.59955563782367,0.8805916417153613,TL47,929.9678390275186,1305.0142403218285,0.866899869988767,gal10,08152019
20,0.2822283808885327,0.008451239248974434,0,369.6282939774743,08152019_TL47_9,20,117079,08152019_TL47_9_117079_0,3925.0,88.43291940542593,0.8722108451116913,TL47,315.0065885918532,1388.0485249789988,0.9328330697811358,gal10,08152019
21,0.3296227272937909,0.002075085715126772,0,1583.5550456862698,08152019_TL47_9,21,135641,08152019_TL47_9_135641_0,13934.0,364.99507871637087,0.8772166595379217,TL47,367.9896999965397,1605.922021399709,0.7835098986707042,gal10,08152019
22,0.3050186644522829,0.0033326408692243878,0,1045.9194256507765,08152019_TL47_9,0,139927,08152019_TL47_9_139927_0,8928.0,238.5771001597949,0.8785768305825437,TL47,1082.996385142411,1655.9987077320698,0.7191421473371098,gal10,08152019
23,0.2964341649554605,0.0024419363934814558,0,1427.182508542796,08152019_TL47_9,23,150027,08152019_TL47_9_150027_0,11941.0,323.17437486811804,0.8795213360109702,TL47,1264.938407852807,1776.046883065359,0.8939784379546728,gal10,08152019
