label,area_cell,intensity_sum_cell,area_nuc,intensity_sum_nuc,channel,im_name,strain
1,7147,12785159,586,1746965,0,09182019_hCTD_5,hCTD
2,3914,3566121,203,331058,0,09182019_hCTD_5,hCTD
3,2755,2091240,301,359026,0,09182019_hCTD_5,hCTD
4,3797,7243774,374,984058,0,09182019_hCTD_5,hCTD
5,4732,7140985,696,1765788,0,09182019_hCTD_5,hCTD
6,3863,5543963,380,723556,0,09182019_hCTD_5,hCTD
7,5729,10699577,669,1761387,0,09182019_hCTD_5,hCTD
8,4073,5738527,321,621356,0,09182019_hCTD_5,hCTD
9,4533,7696621,555,1375105,0,09182019_hCTD_5,hCTD
10,4469,7586456,441,1226358,0,09182019_hCTD_5,hCTD
11,6257,10061751,559,1278601,0,09182019_hCTD_5,hCTD
12,5009,6289479,452,919528,0,09182019_hCTD_5,hCTD
13,5220,9876516,620,2053036,0,09182019_hCTD_5,hCTD
14,4807,7828016,393,1012854,0,09182019_hCTD_5,hCTD
15,3117,3698418,402,632147,0,09182019_hCTD_5,hCTD
16,5277,9452883,604,1457235,0,09182019_hCTD_5,hCTD
17,4146,7267869,387,926177,0,09182019_hCTD_5,hCTD
18,4156,6279642,397,877639,0,09182019_hCTD_5,hCTD
19,4227,5985911,800,2041180,0,09182019_hCTD_5,hCTD
20,5391,10224819,505,1513285,0,09182019_hCTD_5,hCTD
22,3994,7045710,523,1701443,0,09182019_hCTD_5,hCTD
23,4456,7294408,467,1261726,0,09182019_hCTD_5,hCTD
24,4209,6554355,426,1147957,0,09182019_hCTD_5,hCTD
25,5008,6747786,413,844307,0,09182019_hCTD_5,hCTD
26,5138,8426727,720,1928954,0,09182019_hCTD_5,hCTD
27,6122,9011345,556,1200756,0,09182019_hCTD_5,hCTD
28,4169,5787314,531,1012801,0,09182019_hCTD_5,hCTD
29,2062,2951072,199,465976,0,09182019_hCTD_5,hCTD
30,3313,4494675,373,663346,0,09182019_hCTD_5,hCTD
31,4327,5648331,463,1077766,0,09182019_hCTD_5,hCTD
32,5928,10337089,860,2408356,0,09182019_hCTD_5,hCTD
33,4476,6397359,321,602355,0,09182019_hCTD_5,hCTD
1,7147,22319152,586,2784598,1,09182019_hCTD_5,hCTD
2,3914,11756769,203,826838,1,09182019_hCTD_5,hCTD
3,2755,6798741,301,1082981,1,09182019_hCTD_5,hCTD
4,3797,19588831,374,2433491,1,09182019_hCTD_5,hCTD
5,4732,12471905,696,2719122,1,09182019_hCTD_5,hCTD
6,3863,13055612,380,1756671,1,09182019_hCTD_5,hCTD
7,5729,25194540,669,4424295,1,09182019_hCTD_5,hCTD
8,4073,18242588,321,2060738,1,09182019_hCTD_5,hCTD
9,4533,16709902,555,2827792,1,09182019_hCTD_5,hCTD
10,4469,16529699,441,2652166,1,09182019_hCTD_5,hCTD
11,6257,14557358,559,1573515,1,09182019_hCTD_5,hCTD
12,5009,17072526,452,2171688,1,09182019_hCTD_5,hCTD
13,5220,17334470,620,3148325,1,09182019_hCTD_5,hCTD
14,4807,17009618,393,2057562,1,09182019_hCTD_5,hCTD
